[2026-01-08 19:47:00.628] === PLACEMENT PERFORMANCE MONITOR STARTED ===
Timestamp: 2026-01-08 19:47:00
Log File: NewSleevePlacer_2026-01-08_19-47-00.log
Start Memory: 253.80 MB


[2026-01-08 19:47:00.680] [19:47:00.679] Load Family Symbol: 6ms, Memory: 40.00 KB, Items: 1

[2026-01-08 19:47:00.710] [19:47:00.709] Parallel Sleeve Placement Planning: 24ms, Memory: 279.52 KB, Items: 21

[2026-01-08 19:47:00.743] [19:47:00.742] 3-Tier Individual PreCalculation: 31ms, Memory: 239.63 KB, Items: 21

[2026-01-08 19:47:00.788] [19:47:00.787] Calculate Sleeve Dimensions: 19ms, Memory: 216.05 KB, Items: 1

[2026-01-08 19:47:00.792] [19:47:00.791] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-08 19:47:00.845] [19:47:00.844] Adjust Placement Point: 48ms, Memory: 336.00 KB, Items: 1

[2026-01-08 19:47:00.898] [19:47:00.897] Place Sleeve Instance: 45ms, Memory: 0.00 KB, Items: 1

[2026-01-08 19:47:00.957] [19:47:00.957] Set Sleeve Parameters: 53ms, Memory: 440.00 KB, Items: 0

[2026-01-08 19:47:00.984] [19:47:00.984] Calculate Sleeve Dimensions: 8ms, Memory: 216.05 KB, Items: 1

[2026-01-08 19:47:00.990] [19:47:00.989] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-08 19:47:01.010] [19:47:01.010] Adjust Placement Point: 19ms, Memory: 336.00 KB, Items: 1

[2026-01-08 19:47:01.036] [19:47:01.035] Place Sleeve Instance: 22ms, Memory: 0.00 KB, Items: 1

[2026-01-08 19:47:01.062] [19:47:01.062] Set Sleeve Parameters: 22ms, Memory: 448.00 KB, Items: 0

[2026-01-08 19:47:01.084] [19:47:01.084] Calculate Sleeve Dimensions: 8ms, Memory: 216.05 KB, Items: 1

[2026-01-08 19:47:01.089] [19:47:01.089] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-08 19:47:01.123] [19:47:01.123] Adjust Placement Point: 32ms, Memory: -6922.18 KB, Items: 1

[2026-01-08 19:47:01.150] [19:47:01.149] Place Sleeve Instance: 22ms, Memory: 0.00 KB, Items: 1

