[2026-01-02 20:35:35.234] === PLACEMENT PERFORMANCE MONITOR STARTED ===
Timestamp: 2026-01-02 20:35:35
Log File: NewSleevePlacer_2026-01-02_20-35-35.log
Start Memory: 163.86 MB


[2026-01-02 20:35:35.272] [20:35:35.271] Load Family Symbol: 5ms, Memory: 40.00 KB, Items: 1

[2026-01-02 20:35:35.298] [20:35:35.298] Parallel Sleeve Placement Planning: 23ms, Memory: 311.96 KB, Items: 23

[2026-01-02 20:35:35.342] [20:35:35.342] Calculate Sleeve Dimensions: 21ms, Memory: 224.05 KB, Items: 1

[2026-01-02 20:35:35.347] [20:35:35.347] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-02 20:35:35.369] [20:35:35.368] Adjust Placement Point: 17ms, Memory: 120.00 KB, Items: 1

[2026-01-02 20:35:35.437] [20:35:35.435] Place Sleeve Instance: 59ms, Memory: 0.00 KB, Items: 1

[2026-01-02 20:35:35.505] [20:35:35.503] Set Sleeve Parameters: 61ms, Memory: 536.00 KB, Items: 0

[2026-01-02 20:35:35.533] [20:35:35.533] Calculate Sleeve Dimensions: 8ms, Memory: 224.05 KB, Items: 1

[2026-01-02 20:35:35.539] [20:35:35.538] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-02 20:35:35.547] [20:35:35.546] Adjust Placement Point: 6ms, Memory: 128.00 KB, Items: 1

[2026-01-02 20:35:35.576] [20:35:35.576] Place Sleeve Instance: 26ms, Memory: 8.00 KB, Items: 1

[2026-01-02 20:35:35.604] [20:35:35.604] Set Sleeve Parameters: 24ms, Memory: 536.00 KB, Items: 0

[2026-01-02 20:35:35.627] [20:35:35.627] Calculate Sleeve Dimensions: 8ms, Memory: 224.05 KB, Items: 1

[2026-01-02 20:35:35.632] [20:35:35.631] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-02 20:35:35.653] [20:35:35.653] Adjust Placement Point: 19ms, Memory: -6777.13 KB, Items: 1

[2026-01-02 20:35:35.682] [20:35:35.681] Place Sleeve Instance: 26ms, Memory: 0.00 KB, Items: 1

[2026-01-02 20:35:35.710] [20:35:35.710] Set Sleeve Parameters: 24ms, Memory: 536.00 KB, Items: 0

[2026-01-02 20:35:35.733] [20:35:35.733] Calculate Sleeve Dimensions: 8ms, Memory: 216.05 KB, Items: 1

[2026-01-02 20:35:35.739] [20:35:35.738] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-02 20:35:35.747] [20:35:35.746] Adjust Placement Point: 6ms, Memory: 120.00 KB, Items: 1

[2026-01-02 20:35:35.770] [20:35:35.769] Place Sleeve Instance: 20ms, Memory: 0.00 KB, Items: 1

[2026-01-02 20:35:35.798] [20:35:35.797] Set Sleeve Parameters: 24ms, Memory: 536.00 KB, Items: 0

[2026-01-02 20:35:35.820] [20:35:35.820] Calculate Sleeve Dimensions: 8ms, Memory: 216.05 KB, Items: 1

[2026-01-02 20:35:35.826] [20:35:35.824] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-02 20:35:35.834] [20:35:35.833] Adjust Placement Point: 6ms, Memory: 120.00 KB, Items: 1

[2026-01-02 20:35:35.864] [20:35:35.863] Place Sleeve Instance: 26ms, Memory: 0.00 KB, Items: 1

[2026-01-02 20:35:35.891] [20:35:35.891] Set Sleeve Parameters: 24ms, Memory: 536.00 KB, Items: 0

[2026-01-02 20:35:35.914] [20:35:35.913] Calculate Sleeve Dimensions: 8ms, Memory: 224.05 KB, Items: 1

[2026-01-02 20:35:35.919] [20:35:35.918] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-02 20:35:35.928] [20:35:35.927] Adjust Placement Point: 6ms, Memory: 120.00 KB, Items: 1

[2026-01-02 20:35:35.957] [20:35:35.956] Place Sleeve Instance: 26ms, Memory: 0.00 KB, Items: 1

[2026-01-02 20:35:35.986] [20:35:35.985] Set Sleeve Parameters: 25ms, Memory: 536.00 KB, Items: 0

[2026-01-02 20:35:36.010] [20:35:36.009] Calculate Sleeve Dimensions: 8ms, Memory: 224.05 KB, Items: 1

[2026-01-02 20:35:36.015] [20:35:36.015] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-02 20:35:36.026] [20:35:36.025] Adjust Placement Point: 6ms, Memory: 120.00 KB, Items: 1

[2026-01-02 20:35:36.055] [20:35:36.054] Place Sleeve Instance: 26ms, Memory: 8.00 KB, Items: 1

[2026-01-02 20:35:36.083] [20:35:36.082] Set Sleeve Parameters: 24ms, Memory: 544.00 KB, Items: 0

[2026-01-02 20:35:36.106] [20:35:36.105] Calculate Sleeve Dimensions: 8ms, Memory: 224.05 KB, Items: 1

[2026-01-02 20:35:36.111] [20:35:36.110] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2026-01-02 20:35:36.119] [20:35:36.119] Adjust Placement Point: 6ms, Memory: 120.00 KB, Items: 1

[2026-01-02 20:35:36.150] [20:35:36.149] Place Sleeve Instance: 27ms, Memory: 8.00 KB, Items: 1

[2026-01-02 20:35:36.178] [20:35:36.176] Set Sleeve Parameters: 24ms, Memory: 544.00 KB, Items: 0

