[2025-12-31 17:27:45.511] === PLACEMENT PERFORMANCE MONITOR STARTED ===
Timestamp: 2025-12-31 17:27:45
Log File: NewSleevePlacer_2025-12-31_17-27-45.log
Start Memory: 154.16 MB


[2025-12-31 17:27:46.135] [17:27:46.134] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:46.150] [17:27:46.149] Calculate Sleeve Dimensions: 7ms, Memory: -5914.80 KB, Items: 1

[2025-12-31 17:27:46.153] [17:27:46.152] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.156] [17:27:46.155] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.190] [17:27:46.190] Place Sleeve Instance: 32ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.195] [17:27:46.194] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:46.208] [17:27:46.207] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:46.211] [17:27:46.210] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.211] [17:27:46.211] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.247] [17:27:46.246] Place Sleeve Instance: 32ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.252] [17:27:46.251] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:46.264] [17:27:46.263] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:46.267] [17:27:46.266] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.268] [17:27:46.268] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.297] [17:27:46.296] Place Sleeve Instance: 25ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.302] [17:27:46.301] Set Sleeve Parameters: 2ms, Memory: 40.00 KB, Items: 0

[2025-12-31 17:27:46.315] [17:27:46.314] Calculate Sleeve Dimensions: 5ms, Memory: 200.16 KB, Items: 1

[2025-12-31 17:27:46.318] [17:27:46.317] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.319] [17:27:46.319] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.353] [17:27:46.353] Place Sleeve Instance: 32ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.358] [17:27:46.357] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:46.371] [17:27:46.371] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:46.374] [17:27:46.374] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.376] [17:27:46.375] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.405] [17:27:46.404] Place Sleeve Instance: 25ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.409] [17:27:46.408] Set Sleeve Parameters: 2ms, Memory: 40.00 KB, Items: 0

[2025-12-31 17:27:46.422] [17:27:46.421] Calculate Sleeve Dimensions: 5ms, Memory: 200.16 KB, Items: 1

[2025-12-31 17:27:46.424] [17:27:46.424] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.426] [17:27:46.425] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.461] [17:27:46.459] Place Sleeve Instance: 32ms, Memory: 8.00 KB, Items: 1

[2025-12-31 17:27:46.466] [17:27:46.465] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:46.479] [17:27:46.478] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:46.482] [17:27:46.481] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.483] [17:27:46.482] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.511] [17:27:46.510] Place Sleeve Instance: 25ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.516] [17:27:46.515] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:46.529] [17:27:46.528] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:46.531] [17:27:46.531] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.533] [17:27:46.532] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.571] [17:27:46.570] Place Sleeve Instance: 35ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.575] [17:27:46.575] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:46.588] [17:27:46.587] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:46.591] [17:27:46.590] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.593] [17:27:46.592] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.623] [17:27:46.622] Place Sleeve Instance: 26ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.627] [17:27:46.626] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:46.639] [17:27:46.639] Calculate Sleeve Dimensions: 5ms, Memory: 200.16 KB, Items: 1

[2025-12-31 17:27:46.642] [17:27:46.641] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.644] [17:27:46.643] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:46.680] [17:27:46.679] Place Sleeve Instance: 32ms, Memory: 8.00 KB, Items: 1

[2025-12-31 17:27:46.686] [17:27:46.686] Set Sleeve Parameters: 4ms, Memory: -6106.09 KB, Items: 0

[2025-12-31 17:27:46.699] [17:27:46.698] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:46.702] [17:27:46.701] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:46.703] [17:27:46.703] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

