[2025-12-31 17:27:22.364] === PLACEMENT PERFORMANCE MONITOR STARTED ===
Timestamp: 2025-12-31 17:27:22
Log File: NewSleevePlacer_2025-12-31_17-27-22.log
Start Memory: 147.20 MB


[2025-12-31 17:27:22.407] [17:27:22.406] Load Family Symbol: 5ms, Memory: 47.96 KB, Items: 1

[2025-12-31 17:27:22.430] [17:27:22.429] Parallel Sleeve Placement Planning: 20ms, Memory: 382.48 KB, Items: 110

[2025-12-31 17:27:22.461] [17:27:22.460] Calculate Sleeve Dimensions: 10ms, Memory: 24.05 KB, Items: 1

[2025-12-31 17:27:22.463] [17:27:22.463] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:22.518] [17:27:22.517] Adjust Placement Point: 50ms, Memory: 16.00 KB, Items: 1

[2025-12-31 17:27:22.604] [17:27:22.603] Place Sleeve Instance: 78ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:22.649] [17:27:22.649] Set Sleeve Parameters: 39ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:22.663] [17:27:22.663] Calculate Sleeve Dimensions: 0ms, Memory: 24.05 KB, Items: 1

[2025-12-31 17:27:22.666] [17:27:22.665] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:22.671] [17:27:22.670] Adjust Placement Point: 3ms, Memory: 8.00 KB, Items: 1

[2025-12-31 17:27:22.704] [17:27:22.703] Place Sleeve Instance: 29ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:22.709] [17:27:22.708] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:22.716] [17:27:22.715] Calculate Sleeve Dimensions: 0ms, Memory: 32.00 KB, Items: 1

[2025-12-31 17:27:22.719] [17:27:22.718] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:22.724] [17:27:22.723] Adjust Placement Point: 3ms, Memory: 16.00 KB, Items: 1

[2025-12-31 17:27:22.757] [17:27:22.756] Place Sleeve Instance: 30ms, Memory: 8.00 KB, Items: 1

[2025-12-31 17:27:22.768] [17:27:22.767] Set Sleeve Parameters: 2ms, Memory: 55.96 KB, Items: 0

[2025-12-31 17:27:22.777] [17:27:22.776] Calculate Sleeve Dimensions: 0ms, Memory: 24.05 KB, Items: 1

[2025-12-31 17:27:22.779] [17:27:22.779] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:22.784] [17:27:22.784] Adjust Placement Point: 3ms, Memory: 8.00 KB, Items: 1

[2025-12-31 17:27:22.816] [17:27:22.816] Place Sleeve Instance: 30ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:22.821] [17:27:22.820] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:22.829] [17:27:22.828] Calculate Sleeve Dimensions: 0ms, Memory: 24.05 KB, Items: 1

[2025-12-31 17:27:22.832] [17:27:22.831] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:22.837] [17:27:22.837] Adjust Placement Point: 3ms, Memory: 8.00 KB, Items: 1

[2025-12-31 17:27:22.869] [17:27:22.869] Place Sleeve Instance: 29ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:22.874] [17:27:22.873] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:22.882] [17:27:22.881] Calculate Sleeve Dimensions: 0ms, Memory: 24.05 KB, Items: 1

