ClashZoneId,ClashZoneGuid,StructuralType,SleeveInstanceId,C1X,C1Y,C1Z,C2X,C2Y,C2Z,C3X,C3Y,C3Z,C4X,C4Y,C4Z
1,a60cfb2c-6455-8967-4840-eaab7e13bdc5,Wall,1428088,34.6784776902887,1.21391076115454,9.84251968503937,35.8267716535433,1.21391076115454,9.84251968503937,35.8267716535433,1.21391076115454,10.990813648294,34.6784776902887,1.21391076115454,10.990813648294
2,661b5e54-02f1-b59b-07f2-b22b7fbdb183,Wall,1428109,2.19816272965883,1.21391076115454,1.23031496062992,4.16666666666671,1.21391076115454,1.23031496062992,4.16666666666671,1.21391076115454,3.19881889763779,2.19816272965883,1.21391076115454,3.19881889763779
3,edfd5dca-bdac-8a33-7ce4-78d2ff0b0cb4,Wall,1428081,34.6784776902888,1.21391076115454,4.26509186351706,35.8267716535433,1.21391076115454,4.26509186351706,35.8267716535433,1.21391076115454,5.41338582677165,34.6784776902888,1.21391076115454,5.41338582677165
4,091186e8-2ce9-f546-bf55-e9084850265e,Wall,1428116,10.1390943225212,1.21391076115454,1.45702099737532,12.1075982595291,1.21391076115454,1.45702099737532,12.1075982595291,1.21391076115454,3.4255249343832,10.1390943225212,1.21391076115454,3.4255249343832
5,3674d177-7325-2b17-7e42-c79460bffd18,Wall,1427982,1.21391076115506,3.75756005350403,6.19192877926061,1.21391076115506,6.21818997476387,6.19192877926061,1.21391076115506,6.21818997476387,7.50426473726586,1.21391076115506,3.75756005350403,7.50426473726586
6,e83315b6-5ebf-60fb-5a98-11b4612eb77f,Wall,1428130,5.84742266369985,1.21391076115454,7.35545136728795,7.97996859545838,1.21391076115454,7.35545136728795,7.97996859545838,1.21391076115454,9.48799729904648,5.84742266369985,1.21391076115454,9.48799729904648
7,db86329e-1010-2021-a4c3-2b9e3e98021a,Wall,1427975,1.21391076115506,9.25296687765099,9.80971128608923,1.21391076115506,11.2214708146589,9.80971128608923,1.21391076115506,11.2214708146589,11.1220472440945,1.21391076115506,9.25296687765099,11.1220472440945
8,23970e7f-c4be-e0c0-13ca-aa5427283ab4,Wall,1427989,1.21391076115506,9.08892488290036,7.6279527559055,1.21391076115506,12.0416807884122,7.6279527559055,1.21391076115506,12.0416807884122,9.10433070866141,1.21391076115506,9.08892488290036,9.10433070866141
9,3f3107a3-1ff4-60f2-bebc-a52a386aa2e0,Wall,1428123,12.1883202099738,1.21391076115454,1.45702099737532,14.1568241469817,1.21391076115454,1.45702099737532,14.1568241469817,1.21391076115454,3.4255249343832,12.1883202099738,1.21391076115454,3.4255249343832
10,e90a7cb6-bade-a0dc-0741-e6a350974656,Wall,1428060,23.6024649096964,1.21391076115453,9.84251968503935,24.750758872951,1.21391076115453,9.84251968503935,24.750758872951,1.21391076115453,10.9908136482939,23.6024649096964,1.21391076115453,10.9908136482939
11,2031e5e3-284f-f716-e3f7-64ce8a6a00c9,Wall,1428074,28.5177722788735,1.21391076115453,3.15052910460854,31.9626541686373,1.21391076115453,3.15052910460854,31.9626541686373,1.21391076115453,5.28307503636707,28.5177722788735,1.21391076115453,5.28307503636707
12,b375875a-240b-b59a-2b68-bbf300a9145d,Wall,1428095,8.00490856736524,1.21391076115454,1.45694166252144,9.97341250437312,1.21391076115454,1.45694166252144,9.97341250437312,1.21391076115454,3.42544559952932,8.00490856736524,1.21391076115454,3.42544559952932
13,c2d60296-f2a7-fa6d-665e-941f035331b6,Wall,1428102,4.54173848295029,1.21391076115454,3.93700787401574,6.51024241995817,1.21391076115454,3.93700787401574,6.51024241995817,1.21391076115454,5.90551181102362,4.54173848295029,1.21391076115454,5.90551181102362
14,720e069c-a6a6-25fe-1056-445e5f0e7aac,Wall,1428067,24.6001115316499,1.21391076115453,9.83049698008818,26.2405314791565,1.21391076115453,9.83049698008818,26.2405314791565,1.21391076115453,10.8147489485921,24.6001115316499,1.21391076115453,10.8147489485921
15,0d5bc810-bfb7-4bbb-2444-fa26b583ed82,Wall,1428046,15.5675853018373,1.21391076115454,3.5269028871391,17.5360892388452,1.21391076115454,3.5269028871391,17.5360892388452,1.21391076115454,5.49540682414698,15.5675853018373,1.21391076115454,5.49540682414698
16,049cd767-5dd6-cd86-93b1-07e9c5e91455,Wall,1428053,22.2519676415477,1.21391076115453,3.11382592846638,25.6968495313114,1.21391076115453,3.11382592846638,25.6968495313114,1.21391076115453,5.24637186022491,22.2519676415477,1.21391076115453,5.24637186022491
17,beb0ebbc-764a-9a8b-2a52-9450219277e3,Wall,1428151,0.229658792651127,18.4789351828382,8.6942253112793,1.21391081809998,18.4789351828382,8.6942253112793,1.21391081809998,18.4789351828382,9.3503937007874,0.229658792651127,18.4789351828382,9.3503937007874
18,9415d7e6-e568-4309-a894-43277352ce36,Wall,1428158,0.229658792651127,17.9868087768555,8.6942253112793,1.21391081809998,17.9868087768555,8.6942253112793,1.21391081809998,17.9868087768555,9.3503937007874,0.229658792651127,17.9868087768555,9.3503937007874
19,74ab70ee-5ab9-2160-d72c-e47f0431b54f,Wall,1427946,17.0650621763764,1.21391076115447,6.70931758530183,20.706794459841,1.21391076115447,6.70931758530183,20.706794459841,1.21391076115447,8.71062992125984,17.0650621763764,1.21391076115447,8.71062992125984
20,6d47c804-8104-b6c8-a241-454d59571e6d,Wall,1427954,21.0020700503921,1.21391076115447,6.54527559055117,25.2999703128593,1.21391076115447,6.54527559055117,25.2999703128593,1.21391076115447,8.87467191601049,21.0020700503921,1.21391076115447,8.87467191601049
21,cdc92ac7-80a7-72c5-9570-e7e2b6a1b9e3,Wall,1427961,25.5952459034105,1.21391076115447,7.03740157480315,28.2527262183711,1.21391076115447,7.03740157480315,28.2527262183711,1.21391076115447,8.38254593175853,25.5952459034105,1.21391076115447,8.38254593175853
22,dcd17edd-195c-6000-c102-1ef3287889ee,Wall,1427968,30.0623329748459,1.21391076115452,5.61023622047242,35.1476348121163,1.21391076115452,5.61023622047242,35.1476348121163,1.21391076115452,9.54724409448817,30.0623329748459,1.21391076115452,9.54724409448817
